head_x, head_y, head_z, neck_x, neck_y, neck_z, torso_x, torso_y, torso_z, left_shoulder_x, left_shoulder_y, left_shoulder_z, right_shoulder_x,right_shoulder_y, right_shoulder_z,left_elbow_x, left_elbow_y, left_elbow_z, right_elbow_x, right_elbow_y, right_elbow_z, left_hand_x, left_hand_y, left_hand_z, right_hand_x, right_hand_y, right_hand_z, left_hip_x, left_hip_y, left_hip_z, right_hip_x, right_hip_y, right_hip_z,left_knee_x,left_knee_y,left_knee_z, right_knee_x, right_knee_y, right_knee_z, left_feet_x, left_feet_y, left_feet_z, right_feet_x, right_feet_y, right_feet_z
308.52386,96.25737,308.52386,302.84088,186.43275,302.84088,303.4033,251.95276,303.4033,255.9552,186.78217,255.9552,349.56622,186.08453,349.56622,232.00955,262.0515,232.00955,366.68375,250.4842,366.68375,209.86086,368.3561,209.86086,408.4626,353.4125,408.4626,267.6619,422.66205,267.6619,340.23358,432.92078,340.23358,268.31427,319.48447,268.31427,339.5513,318.6078,339.5513,286.13785,521.9967,286.13785,343.1331,529.25806,343.1331,
305.33817,96.86432,305.33817,300.1908,186.39568,300.1908,301.12714,250.98526,301.12714,252.53406,186.87135,252.53406,347.52676,185.9232,347.52676,227.80272,263.4716,227.80272,367.4843,250.94945,367.4843,200.375,369.1383,200.375,418.24338,348.0915,418.24338,265.73022,422.4367,265.73022,340.05807,428.13678,340.05807,266.19064,317.60495,266.19064,337.7929,316.22574,337.7929,284.79767,523.8294,284.79767,341.00092,529.63074,341.00092,
302.7919,97.56415,302.7919,298.4603,187.16321,298.4603,298.78265,250.42397,298.78265,250.88309,187.17746,250.88309,345.67633,187.14905,345.67633,225.26578,264.22174,225.26578,367.79938,251.39351,367.79938,191.53784,367.5273,191.53784,424.1659,345.94943,424.1659,264.09506,422.97226,264.09506,337.98303,420.60358,337.98303,265.08078,314.9034,265.08078,332.95282,314.188,332.95282,284.2388,526.3589,284.2388,339.95746,527.0309,339.95746,
299.8182,97.69005,299.8182,297.3216,187.05692,297.3216,297.04813,250.27827,297.04813,249.52704,186.6303,249.52704,344.75116,187.4803,344.75116,221.356,262.25568,221.356,368.26718,251.51584,368.26718,182.50224,365.34024,182.50224,425.62378,340.54788,425.62378,258.23096,417.67896,258.23096,334.5619,419.70502,334.5619,263.6609,314.38022,263.6609,329.7056,314.29297,329.7056,283.78833,526.47534,283.78833,339.6696,525.92316,339.6696,
298.0138,97.47414,298.0138,294.76028,186.4449,294.76028,293.7773,249.46341,293.7773,248.15276,185.20204,248.15276,340.74683,187.6712,340.74683,215.45177,258.838,215.45177,369.99728,251.40096,369.99728,178.31581,361.44592,178.31581,422.4408,338.99612,422.4408,257.93658,419.2367,257.93658,333.39572,419.56244,333.39572,262.07315,313.51935,262.07315,323.20465,314.02176,323.20465,282.56094,527.6838,282.56094,337.15308,528.27167,337.15308,
296.61188,97.36186,296.61188,292.05264,184.95439,292.05264,291.71335,248.21428,291.71335,242.3747,184.36427,242.3747,341.21487,185.53838,341.21487,211.16525,259.14453,211.16525,370.55463,247.16434,370.55463,174.89523,361.00287,174.89523,416.81586,332.83566,416.81586,256.07947,416.97922,256.07947,330.96378,417.1921,330.96378,259.99628,312.4607,259.99628,322.53528,312.362,322.53528,279.62732,525.77246,279.62732,335.64798,523.00085,335.64798,
292.9249,97.11127,292.9249,287.82025,184.0079,287.82025,288.00162,247.50003,288.00162,235.88684,183.77977,235.88684,339.1282,184.2333,339.1282,198.32585,260.7428,198.32585,371.9408,240.83098,371.9408,173.18536,359.96088,173.18536,399.48218,320.69128,399.48218,255.5181,416.74298,255.5181,329.5147,417.76978,329.5147,256.38107,312.17368,256.38107,319.754,311.5013,319.754,275.44348,523.9509,275.44348,332.34592,524.6913,332.34592,
289.65454,96.05432,289.65454,282.0915,182.5819,282.0915,283.96442,246.03207,283.96442,230.25873,183.70052,230.25873,333.25507,181.47772,333.25507,185.217,259.5601,185.217,369.45468,229.25336,369.45468,174.56253,351.8166,174.56253,385.28687,310.20004,385.28687,254.39177,415.01392,254.39177,325.1209,418.02148,325.1209,254.46393,311.46277,254.46393,317.01077,309.10406,317.01077,273.26343,524.01636,273.26343,329.5184,523.8368,329.5184,
284.5592,95.15311,284.5592,278.78604,181.46063,278.78604,280.53143,244.00594,280.53143,226.65125,182.36424,226.65125,330.0756,180.57166,330.0756,176.80478,250.61075,176.80478,371.47638,225.3075,371.47638,178.9355,343.60873,178.9355,371.88446,303.4087,371.88446,242.86911,412.50024,242.86911,319.07806,414.2237,319.07806,249.7116,308.47037,249.7116,314.549,306.0561,314.549,270.81985,524.50946,270.81985,324.8463,520.92126,324.8463,
280.4512,95.48442,280.4512,276.83414,180.41423,276.83414,277.9608,243.14075,277.9608,225.92036,180.53793,225.92036,326.6058,180.2933,326.6058,169.53871,242.0241,169.53871,371.28726,221.67664,371.28726,189.79317,336.54065,189.79317,358.07065,296.6392,358.07065,235.74228,410.65912,235.74228,313.64835,411.23132,313.64835,247.2031,307.3234,247.2031,310.53656,305.37128,310.53656,268.80334,521.95953,268.80334,323.70883,520.0326,323.70883,
277.98083,94.48917,277.98083,273.50897,178.66396,273.50897,274.78815,242.62946,274.78815,221.73099,178.73141,221.73099,323.6827,178.59859,323.6827,166.89949,242.55475,166.89949,371.11395,218.33914,371.11395,196.80832,330.8891,196.80832,346.7752,289.67075,346.7752,236.57967,410.91153,236.57967,310.49597,407.47192,310.49597,243.87961,307.82657,243.87961,307.62402,305.22516,307.62402,265.515,522.8998,265.515,321.5565,519.3535,321.5565,
275.98068,93.6685,275.98068,270.80853,177.80948,270.80853,272.72147,241.72523,272.72147,218.62077,178.3341,218.62077,321.22635,177.30261,321.22635,161.88974,241.25375,161.88974,370.55206,216.81726,370.55206,192.73537,325.27237,192.73537,345.03308,285.66617,345.03308,236.39313,410.0208,236.39313,312.55127,401.4787,312.55127,242.00195,307.16748,242.00195,306.55307,303.7432,306.55307,263.97964,521.4875,263.97964,318.0875,518.2335,318.0875,
274.74673,92.66341,274.74673,268.40497,177.75632,268.40497,270.74295,241.83084,270.74295,216.74733,178.58513,216.74733,318.34406,176.95511,318.34406,156.77141,237.53143,156.77141,368.13412,215.89273,368.13412,197.70667,318.27826,197.70667,343.48358,286.27884,343.48358,236.30031,421.4084,236.30031,312.0827,403.1648,312.0827,240.74384,307.67313,240.74384,304.7256,303.91248,304.7256,261.36765,523.97186,261.36765,315.8051,517.3956,315.8051,
273.47217,92.56055,273.47217,267.0239,177.8488,267.0239,269.81342,241.97948,269.81342,215.84805,179.04564,215.84805,316.5846,176.68976,316.5846,157.82176,237.57587,157.82176,352.18927,220.35861,352.18927,196.49606,314.5443,196.49606,345.59772,285.31055,345.59772,232.69272,418.69678,232.69272,311.98035,404.9038,311.98035,240.95381,308.0729,240.95381,303.61954,304.0425,303.61954,260.5718,524.77515,260.5718,316.75076,513.5038,316.75076,
273.45898,92.62364,273.45898,266.78613,178.14186,266.78613,269.56287,241.75905,269.56287,215.52676,179.3606,215.52676,316.48752,176.96017,316.48752,162.34474,237.95296,162.34474,343.81302,220.42148,343.81302,192.70593,308.5355,192.70593,348.6153,280.9797,348.6153,234.11833,416.73083,234.11833,312.5818,405.37195,312.5818,240.45099,307.40747,240.45099,303.61963,303.44073,303.61963,260.175,524.4149,260.175,315.19287,514.6685,315.19287,
273.7543,92.65506,273.7543,265.47037,179.43536,265.47037,268.8321,243.34502,268.8321,214.48013,181.20488,214.48013,315.11792,177.71243,315.11792,162.20699,236.35393,162.20699,344.5066,217.38884,344.5066,191.33337,306.1301,191.33337,348.02618,281.14627,348.02618,234.3847,419.68054,234.3847,315.82828,421.16568,315.82828,240.54141,309.65915,240.54141,303.34622,305.3393,303.34622,258.47864,524.2715,258.47864,315.91852,513.91504,315.91852,
273.86453,92.77121,273.86453,266.1943,179.49902,266.1943,269.48206,243.54025,269.48206,215.22874,181.20284,215.22874,315.81107,177.84032,315.81107,163.56224,236.90182,163.56224,345.65573,215.9012,345.65573,191.96869,305.71024,191.96869,349.7209,282.3459,349.7209,237.54004,422.03204,237.54004,315.02222,427.7009,315.02222,241.0376,309.9444,241.0376,303.9944,305.67813,303.9944,258.61447,524.1744,258.61447,316.1396,516.28015,316.1396,
273.8455,93.012924,273.8455,266.335,179.6883,266.335,269.80588,243.678,269.80588,215.49936,181.49184,215.49936,315.78607,177.93385,315.78607,164.34288,238.07585,164.34288,346.66428,217.2419,346.66428,194.20619,309.52985,194.20619,349.1921,283.53622,349.1921,240.79813,422.6659,240.79813,315.5565,424.0639,315.5565,241.39575,310.1889,241.39575,304.63422,305.7035,304.63422,258.61502,524.4441,258.61502,315.40817,517.4134,315.40817,
